## FlyBase Gene Snapshot Report
## Generated: Wed Nov 25 22:32:29 2020
## Using datasource: dbi:Pg:dbname=fb_2020_06_reporting;host=flysql20;port=5432...
## Genes that currently do not have a gene snapshot are included in this file and marked with "Contributions welcome." in the gene_snapshot_text column.

##FBgn_ID	GeneSymbol	GeneName	datestamp	gene_snapshot_text
FBgn0034406	Jheh3	Juvenile hormone epoxide hydrolase 3	-	Contributions welcome.
FBgn0026582	Hmg-2	High mobility group protein 2	20190926	High mobility group protein 2 (Hmg-2) encodes a member of the non-histone chromosomal high-mobility group protein family. These proteins associate with with chromatin and are ubiquitously distributed in the nucleus of eukaryotic cells. The product of Hmg-2 binds to DNA in a non-sequence specific fashion to induce structural changes in DNA that include bending and unwinding that in turn, promote DNA flexibility.
FBgn0027872	rdgBbeta	rdgBbeta	-	Contributions welcome.
FBgn0037731	CG18542	-	-	Contributions welcome.
FBgn0037566	mRpL1	mitochondrial ribosomal protein L1	-	Contributions welcome.
FBgn0053285	CG33285	-	-	Contributions welcome.
FBgn0262817	CG43188	-	-	Contributions welcome.
FBgn0053772	CG33772	-	-	Contributions welcome.
FBgn0037996	CG4830	-	-	Contributions welcome.
FBgn0263082	CG43350	-	-	Contributions welcome.
FBgn0011596	fzo	fuzzy onions	20190307	fuzzy onions (fzo) encodes an evolutionarily conserved transmembrane Dynamin-type GTPase and founder member of the mitofusin class of proteins. It is required for proper fusion of mitochondria during spermatid differentiation to form the Nebenkern mitochondrial formation.
FBgn0050391	CG30391	-	-	Contributions welcome.
FBgn0032195	CG4908	-	-	Contributions welcome.
FBgn0037761	CG8534	-	-	Contributions welcome.
FBgn0052406	PVRAP	PVR adaptor protein	20190314	PVR adaptor protein (PVRAP) encodes a protein implicated in VEGF/PDGF signaling. It binds to the product of Pvr and is required for downstream activation of Target of Rapamycin Complex 1.
FBgn0051961	TBCC	Tubulin-binding cofactor C	-	Contributions welcome.
FBgn0030365	Tango4	Transport and Golgi organization 4	-	Contributions welcome.
FBgn0261994	CG42812	-	-	Contributions welcome.
FBgn0035197	CG9130	-	-	Contributions welcome.
FBgn0017566	ND-75	NADH dehydrogenase (ubiquinone) 75 kDa subunit	-	Contributions welcome.
FBgn0027532	CG7139	-	-	Contributions welcome.
FBgn0261938	mtRNApol	mitochondrial RNA polymerase	-	Contributions welcome.
FBgn0026268	antdh	antdh	-	Contributions welcome.
FBgn0052668	CG32668	-	-	Contributions welcome.
FBgn0262592	CG43127	-	-	Contributions welcome.
FBgn0034196	CG15605	-	-	Contributions welcome.
FBgn0036815	HipHop	HP1-HOAP-interacting protein	20190919	HP1-HOAP-interacting protein (HipHop) encodes a protein that interacts with the products of cav and Su(var)205. It is involved in telomere capping.
FBgn0260430	CG42525	-	-	Contributions welcome.
FBgn0260431	CG42526	-	-	Contributions welcome.
FBgn0037176	CG14456	-	-	Contributions welcome.
FBgn0263038	CG43333	-	-	Contributions welcome.
FBgn0052572	CG32572	-	-	Contributions welcome.
FBgn0039116	CG10375	-	-	Contributions welcome.
FBgn0034438	CG9416	-	-	Contributions welcome.
FBgn0069242	eca	eclair	-	Contributions welcome.
FBgn0262487	CG43077	-	-	Contributions welcome.
FBgn0262482	CG43072	-	-	Contributions welcome.
FBgn0038510	CG14331	-	-	Contributions welcome.
FBgn0036442	CG13473	-	-	Contributions welcome.
FBgn0037730	CG9444	-	-	Contributions welcome.
FBgn0264552	CG43931	-	-	Contributions welcome.
FBgn0035792	CG7548	-	-	Contributions welcome.
FBgn0001084	fy	fuzzy	20190307	fuzzy (fy) encodes a cytoplasmic protein that functions as a downstream member of the fz-stan planar cell polarity pathway that controls hair and bristle polarity in the adult. It interacts directly with the product of in and accumulates on the proximal edge of wing cells.
FBgn0037463	djl	don juan like	20190307	don juan like (djl) encodes a protein present in spermatids and sperm.
FBgn0038666	Smu1	Smu1 spliceosomal factor	20181115	Smu1 spliceosomal factor (Smu1) encodes a spliceosomal protein required for normal neuromuscular junction development and function. It functions together with the product of beag. Both proteins can regulate synaptic levels of the product of Fas2.
FBgn0011591	fng	fringe	20190307	fringe (fng) encodes a glycosyltransferase that modifies EGF domains of the product of N. This glycosylation enhances the interactions the product of N with its ligand encoded by Dl, and inhibits those with its ligand encoded by Ser. In this way the product of fng modulates Notch signaling.
FBgn0037179	CG14453	-	-	Contributions welcome.
FBgn0037180	CG14452	-	-	Contributions welcome.
FBgn0050281	CG30281	-	-	Contributions welcome.
FBgn0033481	CG12920	-	-	Contributions welcome.
FBgn0036192	Pldn	Pallidin	20181025	Pallidin (Pldn) encodes a core component of the biogenesis of lysosome-related organelles (BLOC-1) complex. It is involved in pigment granule biogenesis and synaptic vesicle recycling at the neuromuscular junction.
FBgn0259966	Sfp51E	Seminal fluid protein 51E	-	Contributions welcome.
FBgn0038292	CG3987	-	-	Contributions welcome.
FBgn0000482	dor	deep orange	-	Contributions welcome.
FBgn0038853	RhoGAP93B	Rho GTPase activating protein at 93B	-	Contributions welcome.
FBgn0039323	CG10559	-	-	Contributions welcome.
FBgn0083962	CG34126	-	-	Contributions welcome.
FBgn0031677	CG14036	-	-	Contributions welcome.
FBgn0051680	CG31680	-	-	Contributions welcome.
FBgn0040505	Alk	Anaplastic lymphoma kinase	20190307	Anaplastic lymphoma kinase (Alk) encodes a protein that employs Ras/ERK and PI3K signalling pathways to function in multiple contexts including embryonic visceral muscle development, growth and organ size regulation, retinal axon targeting, modulation of neuromuscular transmission as well as sleep regulation and olfactory learning. Its ligand is the secreted protein encoded by jeb.
FBgn0031526	CG8838	-	-	Contributions welcome.
FBgn0250757	CG42235	-	-	Contributions welcome.
FBgn0028734	Fmr1	Fmr1	20190307	Fmr1 (Fmr1) encodes an RNA and channel binding protein. It acts as a neural growth brake regulating RNA trafficking, RNA translation and neuronal excitability. Fmr1 loss causes Fragile X syndrome.
FBgn0051415	CG31415	-	-	Contributions welcome.
FBgn0036945	Ssk	Snakeskin	-	Contributions welcome.
FBgn0036612	CG4998	-	-	Contributions welcome.
FBgn0266666	Sem1	Suppressor of exocyst mutations 1	-	Contributions welcome.
FBgn0266369	Mtp	Microsomal triacylglycerol transfer protein	20190926	Microsomal triacylglycerol transfer protein (Mtp) encodes a phosphatidylcholine transporter involved in lipoprotein metabolism, tracheal system lumen formation and neuron development.
FBgn0040660	CG13551	-	-	Contributions welcome.
FBgn0028647	CG11902	-	-	Contributions welcome.
FBgn0025725	alphaCOP	Coat Protein (coatomer) alpha	-	Contributions welcome.
FBgn0025724	beta'COP	Coat Protein (coatomer) beta'	-	Contributions welcome.
FBgn0032053	mRpL51	mitochondrial ribosomal protein L51	-	Contributions welcome.
FBgn0041004	CG17715	-	-	Contributions welcome.
FBgn0028402	Sin	Sex-lethal interactor	-	Contributions welcome.
FBgn0027507	CG1344	-	-	Contributions welcome.
FBgn0005427	ewg	erect wing	20180913	erect wing (ewg) encodes a transcription factor that is essential for synaptic growth at neuromuscular junctions, specification of photoreceptor subtypes, and formation of indirect flight muscles. ewg product has also been linked to the Hippo and Wingless pathways and serves as a major target of the RNA-binding protein encoded by elav.
FBgn0036162	Fum3	Fumarase 3	-	Contributions welcome.
FBgn0003977	vir	virilizer	-	Contributions welcome.
FBgn0028968	gammaCOP	Coat Protein (coatomer) gamma	20190926	Coat Protein (coatomer) gamma (gammaCOP) encodes a subunit of the coat complex of COPI vesicles, which transport cargo within the Golgi apparatus and from the Golgi apparatus to the endoplasmic reticulum. Its functions include membrane and protein trafficking in the secretory apparatus.
FBgn0085436	Not1	Not1	20190801	Not1 (Not1) encodes a poly(A)-specific ribonuclease involved in translation inhibition and ovarian follicle cell development.
FBgn0004921	Ggamma1	G protein gamma 1	20190307	G protein gamma 1 (Ggamma1) encodes a protein involved in the G-protein coupled receptor signaling pathway. Ggamma1-product regulates actomyosin dynamics and contributes to heart morphogenesis, asymmetric neuroblast division and convergent extension movements during gastrulation.
FBgn0262126	Sec24CD	Secretory 24CD	20190314	Secretory 24CD (Sec24CD) encodes a subunit of the coat protein complex of COPII vesicles, which transport cargo from the endoplasmic reticulum to the Golgi apparatus. It is essential for export of membrane and secreted proteins from the endoplasmic reticulum. It is involved in epithelial morphogenesis and differentiation.
FBgn0250832	Dup99B	Ductus ejaculatorius peptide 99B	-	Contributions welcome.
FBgn0032051	CG13097	-	-	Contributions welcome.
FBgn0037621	M1BP	Motif 1 Binding Protein	20190613	Motif 1 Binding Protein (M1BP) encodes a transcription pausing factor. It regulates gene transcription via interaction with the Hox proteins encoded by abd-A and Ubx. It contributes to the development of ovarian follicle cells.
FBgn0266598	Kmn2	kinetochore Mis12-Ndc80 network component 2	20190314	kinetochore Mis12-Ndc80 network component 2 (Kmn2) encodes a component of the Ndc80 complex, an essential kinetochore constituent.
FBgn0027493	AdSS	Adenylosuccinate Synthetase	20190307	Adenylosuccinate Synthetase (AdSS) encodes a protein involved in purine nucleotide biosynthesis and neurogenesis.
FBgn0053281	CG33281	-	-	Contributions welcome.
FBgn0053508	ppk13	pickpocket 13	-	Contributions welcome.
FBgn0036819	Dysb	Dysbindin	-	Contributions welcome.
FBgn0031455	Snapin	SNAP associated protein	-	Contributions welcome.
FBgn0050077	Blos1	Biogenesis of lysosome-related organelles complex 1, subunit 1	20190307	Biogenesis of lysosome-related organelles complex 1, subunit 1 (Blos1) encodes a subunit of the octameric complex BLOC-1. BLOC-1 is a cytosolic factor involved in membrane traffic that controls eye color, synaptic morphology, homeostatic synaptic plasticity, and synaptic vesicle recycling.
FBgn0085284	Blos3	Biogenesis of lysosome-related organelles complex 1, subunit 3	-	Contributions welcome.
FBgn0036118	Blos2	Biogenesis of lysosome-related organelles complex 1, subunit 2	-	Contributions welcome.
FBgn0036105	Blos4	Biogenesis of lysosome-related organelles complex 1, subunit 4	-	Contributions welcome.
FBgn0260856	Membrin	Membrin	-	Contributions welcome.
FBgn0030731	Mfe2	peroxisomal Multifunctional enzyme type 2	20190314	peroxisomal Multifunctional enzyme type 2 (Mfe2) encodes a multifunctional protein harboring two separate enzyme activities: 2-enoyl-CoA hydratase 2 and 3-hydroxyacyl-CoA dehydrogenase. They function in the peroxisomal fatty acid breakdown spiral of beta-oxidation utilizing the (R)-isomer of the CoA-containing substrate.
FBgn0016698	Ptpa	Phosphotyrosyl phosphatase activator	20180920	Phosphotyrosyl phosphatase activator (Ptpa) encodes a nuclear protein that associates with the catalytic subunit of the PP4 complex encoded by Pp4-19C in larval brain neuroblasts. It facilitates the dephosphorylation and basal distribution of the mira protein during neuroblast asymmetric division.
FBgn0266599	Hsc70-4	Heat shock protein cognate 4	20190912	Heat shock protein cognate 4 (Hsc70-4) encodes a protein involved in protein folding. It contributes to clathrin-mediated endocytosis, neurotransmitter exocytosis and RNAi response.
FBgn0034913	Snap29	Synaptosomal-associated protein 29kDa	20181018	Synaptosomal-associated protein 29kDa (Snap29) encodes a member of the SNARE (soluble N-ethylmaleimide-sensitive factor-attachment protein (SNAP) receptor) family. It is involved in regulation of autophagy, endocytic recycling and cell division.
FBgn0028552	gammaSnap1	gamma Soluble NSF attachment protein 1	20190711	gamma Soluble NSF attachment protein 1 (gammaSnap1) encodes a protein involved in the dorsal/ventral pattern formation of the wing disc.
FBgn0013342	nSyb	neuronal Synaptobrevin	20190711	neuronal Synaptobrevin (nSyb) encodes a SNAP receptor involved in vesicle fusion.
FBgn0010053	Jheh1	Juvenile hormone epoxide hydrolase 1	20190307	Juvenile hormone epoxide hydrolase 1 (Jheh1) expression changes are associated with increased tolerance to oxidative stress.
FBgn0250791	alphaSnap	alpha Soluble NSF attachment protein	-	Contributions welcome.
FBgn0266667	Exo70	Exocyst 70	-	Contributions welcome.
FBgn0000261	Cat	Catalase	20180906	Catalase (Cat) encodes an enzyme that catalyzes the decomposition of hydrogen peroxide. It reduces the amount of oxidative damage to biomolecules and protects cells from the toxic effects of reactive oxygen species.
FBgn0035317	Oseg2	Outer segment 2	-	Contributions welcome.
FBgn0259964	Sfp33A3	Seminal fluid protein 33A3	-	Contributions welcome.
FBgn0034602	Lapsyn	Leucine-rich repeat activity-regulated protein at synapses	20190926	Leucine-rich repeat activity-regulated protein at synapses (Lapsyn) encodes a member of the leucine-rich repeat (LRR) family of cell surface protein. It is expressed in glial cells and required for branch morphogenesis of astrocyte-like glia in the visual system and other areas of the central nervous system during larval and pupal development.
FBgn0031745	rau	rau	20190314	rau (rau) encodes a protein that sustains RTK signaling downstream of the product of htl or Egfr. This effect is mediated by the two Ras association (RA) domains that together show a binding preference for GTP-loaded Ras. rau depletion produces a rough eye phenotype and reduced differentiation of retinal wrapping glia.
FBgn0039782	CG15539	-	-	Contributions welcome.
FBgn0085438	CG34409	-	-	Contributions welcome.
FBgn0036780	CG7330	-	-	Contributions welcome.
FBgn0266669	Sec3	Secretory 3	-	Contributions welcome.
FBgn0052626	AMPdeam	AMP deaminase	-	Contributions welcome.
FBgn0266668	Exo84	Exocyst 84	20190711	Exocyst 84 (Exo84) encodes an exocyst component involved in epithelial polarity. It mediates the apical localization of the transmembrane protein encoded by crb.
FBgn0266670	Sec5	Secretory 5	-	Contributions welcome.
FBgn0266671	Sec6	Secretory 6	-	Contributions welcome.
FBgn0266672	Sec8	Secretory 8	20190314	Secretory 8 (Sec8) encodes a component of the exocyst complex involved in tethering secretory vesicles to the plasma membrane and microtubule assembly suppression. Sec8 mutants show increased microtubules and alterations in microtubule-dependent processes.
FBgn0267365	l(2)SH0834	lethal (2) SH0834	-	Contributions welcome.
FBgn0052246	CG32246	-	-	Contributions welcome.
FBgn0031314	IntS14	Integrator 14	-	Contributions welcome.
FBgn0051704	CG31704	-	-	Contributions welcome.
FBgn0037167	CG11425	-	-	Contributions welcome.
FBgn0038034	Cyp9f3	Cyp9f3	-	Contributions welcome.
FBgn0030700	CG15914	-	-	Contributions welcome.
FBgn0038161	CG9269	-	-	Contributions welcome.
FBgn0052006	CG32006	-	-	Contributions welcome.
FBgn0040968	CG14933	-	-	Contributions welcome.
FBgn0266673	Sec10	Secretory 10	-	Contributions welcome.
FBgn0266674	Sec15	Secretory 15	-	Contributions welcome.
FBgn0035888	CG7120	-	-	Contributions welcome.
FBgn0037363	Atg17	Autophagy-related 17	20190307	Autophagy-related 17 (Atg17) encodes a subunit of the evolutionarily conserved Atg1 kinase complex, which controls the initiation of autophagosome formation. The product of Atg17 also has a role in maintaining neuromuscular function and normal lifespan.
FBgn0025625	Sik2	Salt-inducible kinase 2	20190314	Salt-inducible kinase 2 (Sik2) encodes a serine/threonine kinase that is activated by the product of Lkb1. It regulates lipid storage and energy homeostasis by controlling the activity of cAMP-response element-binding protein (CREB)-regulated transcription coactivator (CRTC).
FBgn0015623	Cpr	Cytochrome P450 reductase	-	Contributions welcome.
FBgn0030960	Atg101	Autophagy-related 101	20190307	Autophagy-related 101 (Atg101) encodes a subunit of the evolutionarily conserved Atg1 kinase complex, which controls the initiation of autophagosome formation.
FBgn0259949	Sfp23F	Seminal fluid protein 23F	-	Contributions welcome.
FBgn0039335	Vps33B	Vacuolar protein sorting 33B	20181108	Vacuolar protein sorting 33B (Vps33B) encodes a member of the family of SM proteins, which in conjunction with SNARE proteins catalyze membrane fusion events. The product of Vps33B, together with its binding partner encoded by Vps16B, forms a complex that is necessary for fusions between phagosomes and lysosomes.
FBgn0033216	CG1946	-	-	Contributions welcome.
FBgn0033602	Cpr47Ee	Cuticular protein 47Ee	-	Contributions welcome.
FBgn0263120	Acsl	Acyl-CoA synthetase long-chain	-	Contributions welcome.
FBgn0034976	CG4049	-	-	Contributions welcome.
FBgn0030343	ATP7	ATP7	20190912	ATP7 (ATP7) encodes a copper transmembrane transporter involved in cuticle pigmentation, copper homeostasis and larval development.
FBgn0004778	Ccp84Af	Ccp84Af	-	Contributions welcome.
FBgn0032382	Mal-B2	Maltase B2	-	Contributions welcome.
FBgn0013799	Deaf1	Deformed epidermal autoregulatory factor-1	-	Contributions welcome.
FBgn0031529	CG9662	-	-	Contributions welcome.
FBgn0034972	CG10339	-	-	Contributions welcome.
FBgn0038256	CG7530	-	-	Contributions welcome.
FBgn0036443	CG13471	-	-	Contributions welcome.
FBgn0015946	grim	grim	20190307	grim (grim) encodes a member of the inhibitor of apoptotic protein antagonists. In response to death signals, it induces apoptosis of cells in the central nervous system. It is important particularly for the apoptosis of specific juvenile neurons during metamorphosis.
FBgn0004587	B52	B52	-	Contributions welcome.
FBgn0259991	CG42488	-	-	Contributions welcome.
FBgn0086675	fne	found in neurons	20190307	found in neurons (fne) encodes an RNA binding protein that works as a post-transcriptional regulator. It is present in the cytoplasm of all neurons. Lack of fne produces fusion of the mushroom body beta-lobes and altered male courtship behaviour.
FBgn0261932	CG42798	-	-	Contributions welcome.
FBgn0260400	elav	embryonic lethal abnormal vision	20200820	embryonic lethal abnormal vision (elav) encodes the founding member of a family of prototype RNA binding proteins homologous to human Hu proteins, and acting as gene-specific regulators of many aspects of mRNA processing. Drosophila has three members in this family, elav, fne and Rbp9, which are predominantly pan-neuronal. elav has roles in axon guidance, synapse formation and photoreceptor differentiation.
FBgn0033031	CG8245	-	-	Contributions welcome.
FBgn0038505	CG17283	-	-	Contributions welcome.
FBgn0037207	Mes2	Mesoderm-expressed 2	20190912	Mesoderm-expressed 2 (Mes2) encodes a transcription regulator involved in ecdysis.
FBgn0040342	CG3706	-	-	Contributions welcome.
FBgn0034403	CG18190	-	-	Contributions welcome.
FBgn0030056	CAH3	Carbonic anhydrase 3	-	Contributions welcome.
FBgn0266418	wake	wide awake	20190321	wide awake (wake) encodes a clock output molecule that regulates the timing of sleep onset. It upregulates the GABA receptor encoded by Rdl in the arousal-promoting large ventrolateral neurons, thus suppressing activity of the these cells at dusk and facilitating sleep onset at that time.
FBgn0085440	Lgr4	Leucine-rich repeat-containing G protein-coupled receptor 4	20190314	Leucine-rich repeat-containing G protein-coupled receptor 4 (Lgr4) encodes a protein that shows highest similarity with vertebrate receptors for relaxin-like peptides.
FBgn0038167	Lkb1	Lkb1 kinase	20190314	Lkb1 kinase (Lkb1) encodes a serine/threonine kinase that plays a master role for activating the AMP-dependent protein kinase (AMPK) family kinases. It is a well-characterized tumor suppressor and regulates processes like cell polarity, metabolism, apoptosis, and cell growth.
FBgn0014006	Ask1	Apoptotic signal-regulating kinase 1	20190307	Apoptotic signal-regulating kinase 1 (Ask1) encodes a serine/threonine kinase that belongs to the MAPK kinase kinase family. In response to various stresses, it phosphorylates MAPK kinases in JNK and p38 MAPK pathways, inducing cellular stress responses including cell death and immune responses.
FBgn0039395	CG14546	-	-	Contributions welcome.
FBgn0052238	TTLL1B	Tubulin tyrosine ligase-like 1B	-	Contributions welcome.
FBgn0030823	TTLL1A	Tubulin tyrosine ligase-like 1A	-	Contributions welcome.
FBgn0031574	TTLL4B	Tubulin tyrosine ligase-like 4B	-	Contributions welcome.
FBgn0026147	TTLL4A	Tubulin tyrosine ligase-like 4A	-	Contributions welcome.
FBgn0039501	TTLL6B	Tubulin tyrosine ligase-like 6B	-	Contributions welcome.
FBgn0034459	TTLL6A	Tubulin tyrosine ligase-like 6A	-	Contributions welcome.
FBgn0083971	CG34135	-	-	Contributions welcome.
FBgn0033225	TTLL12	Tubulin tyrosine ligase-like 12	-	Contributions welcome.
FBgn0025702	Srpk79D	Serine-arginine protein kinase at 79D	20190314	Serine-arginine protein kinase at 79D (Srpk79D) is required to prevent the formation of axonal protein aggregates containing the active zone-protein encoded by brp.
FBgn0037838	TTLL15	Tubulin tyrosine ligase-like 15	-	Contributions welcome.
FBgn0033773	Mos	Mos oncogene	20190801	Mos oncogene (Mos) encodes a kinase that activates the MAPK cascade during oogenesis.
FBgn0051874	Fum4	Fumarase 4	-	Contributions welcome.
FBgn0035142	Hipk	Homeodomain interacting protein kinase	20190307	Homeodomain interacting protein kinase (Hipk) encodes a protein that belongs to the DYRK family kinases. It can modulate signaling pathways including Wingless, Notch, Hippo, Hedgehog, JNK, and cell death. It plays roles in development, proliferation and patterning of many tissues, including the eye, wing, and the embryo.
FBgn0030373	moon	moonshiner	-	Contributions welcome.
FBgn0039235	CAH4	Carbonic anhydrase 4	-	Contributions welcome.
FBgn0013435	Cdc2rk	Cdc2-related kinase	20190801	Cdc2-related kinase (Cdc2rk) encodes a kinase that might be involved in cell cycle regulation.
FBgn0259148	CG42263	-	-	Contributions welcome.
FBgn0015295	Shark	SH2 ankyrin repeat kinase	20190314	SH2 ankyrin repeat kinase (Shark) encodes a non-receptor tyrosine kinase of the Syk family. It contributes to embryonic dorsal closure, chorion formation and engulfment of dying neurons.
FBgn0036406	CG13484	-	-	Contributions welcome.
FBgn0003079	Raf	Raf oncogene	20190314	Raf oncogene (Raf) encodes a serine-threonine protein kinase that acts downstream of the product of ras. It activates the MEK/ERK pathway to regulate cell proliferation, differentiation and survival downstream of receptor tyrosine kinases such as those encoded by tor, Egfr, and sev.
FBgn0036936	CG14185	-	-	Contributions welcome.
FBgn0032525	Hsp60D	Heat shock protein 60D	20181011	Heat shock protein 60D (Hsp60D) encodes a protein involved in caspase-mediated apoptosis and polyQ-mediated neurodegeneration.
FBgn0035001	Slik	Sterile20-like kinase	20190314	Sterile20-like kinase (Slik) encodes a member of the Sterile-20 kinase family. It acts via Raf to promote cell proliferation in imaginal disc epithelia. Independently, Slik acts via the product of Moe to support epithelial integrity.
FBgn0262619	DNAlig1	DNA ligase 1	-	Contributions welcome.
FBgn0260935	Vps15	Vacuolar protein sorting 15	20190321	Vacuolar protein sorting 15 (Vps15) encodes a serine/threonine protein kinase that is a core component of the Vps34/class III PI3-Kinase complex. It is required for the production of PI3P and influences multiple vesicle trafficking pathways, including autophagy and endocytosis.
FBgn0036937	Ir76b	Ionotropic receptor 76b	20190307	Ionotropic receptor 76b (Ir76b) encodes a member of the Ionotropic Receptor (IR) family of variant ionotropic glutamate receptors. It functions in chemosensory detection of various amines and salt, as a probable co-receptor subunit.
FBgn0024222	IKKbeta	I-kappaB kinase beta	20190307	I-kappaB kinase beta (IKKbeta) encodes a a component of the IkappaB Kinase (IKK) complex together with the product of key. IKK complex participates in the activation of the transcription factor encoded by Rel in the immune deficiency pathway. This pathway regulates the antibacterial response and other less characterized cellular processes.
FBgn0028852	CG15262	-	-	Contributions welcome.
FBgn0035144	Kah	Kahuli	20190314	Kahuli (Kah) encodes a member of the Snail/Scratch family of transcription factors, which regulate transcription by binding the E-box motif ACAGGTG.
FBgn0086657	IKKepsilon	I-kappaB kinase epsilon	20190307	I-kappaB kinase epsilon (IKKepsilon) encodes a serine-threonine kinase that targets the inhibitor of apoptosis encoded by Diap1 for degradation. It also negatively regulates protein kinase C and the dynein adaptor encoded nuf. The product of IKKepsilon contributes to the specification of bristle cells, bristle cell morphogenesis, oocyte polarity, and dendrite development.
FBgn0030506	DNAlig4	DNA ligase 4	20181004	DNA ligase 4 (DNAlig4) encodes an ATP-dependent DNA ligase responsible for the sealing of DNA double-strand breaks during the canonical non-homologous end joining pathway of DNA repair. It interacts with the product of XRCC4 for stability and DNA ligase activity.
FBgn0261529	ms(2)34Fe	male sterile (2) 34Fe	-	Contributions welcome.
FBgn0040629	CAH5	Carbonic anhydrase 5	-	Contributions welcome.
FBgn0033885	DJ-1alpha	DJ-1alpha	-	Contributions welcome.
FBgn0040737	Tango8	Transport and Golgi organization 8	-	Contributions welcome.
FBgn0032363	Dlg5	Discs large 5	-	Contributions welcome.
FBgn0040365	CG14628	-	-	Contributions welcome.
FBgn0085271	CG34242	-	-	Contributions welcome.
FBgn0015286	Rala	Ras-like protein A	20190801	Ras-like protein A (Rala) encodes a GTPase that regulates Notch, Jak/Stat and JNK signalling pathways.
FBgn0286213	RpS12	Ribosomal protein S12	20190328	Ribosomal protein S12 (RpS12) is an essential gene encoding a protein component of the cytoplasmic small ribosomal subunit.
FBgn0029172	Fad2	Fad2	20190307	Fad2 (Fad2) encodes a transmembrane fatty acid desaturase that utilizes mono-unsaturated long-chain fatty acids (LCFAs) to synthesize di-unsaturated LCFAs. It is involved in the synthesis of the female pheromones.
FBgn0031142	r-cup	ryder cup	-	Contributions welcome.
FBgn0050404	Tango11	Transport and Golgi organization 11	-	Contributions welcome.
FBgn0031622	CG3251	-	-	Contributions welcome.
FBgn0039838	CAH6	Carbonic anhydrase 6	-	Contributions welcome.
FBgn0051681	CG31681	-	-	Contributions welcome.
FBgn0038359	CG5614	-	-	Contributions welcome.
FBgn0267366	mil	milkah	20190912	milkah (mil) encodes a nucleosome assembly factor of the Nap family. It is involved in spermatogenesis, long-term memory formation and male courtship.
FBgn0039254	Nmnat	Nicotinamide mononucleotide adenylyltransferase	20190314	Nicotinamide mononucleotide adenylyltransferase (Nmnat) encodes an essential enzyme in the NAD salvage pathway, catalyzing the last step of NAD synthesis. It is also a neuronal maintenance factor that protects neurons from excitotoxicity, environmental stress and protein misfolding induced degeneration.
FBgn0025679	Klf15	Kruppel-like factor 15	-	Contributions welcome.
FBgn0033789	CG13324	-	-	Contributions welcome.
FBgn0036874	brv1	brivido-1	-	Contributions welcome.
FBgn0040333	brv3	brivido-3	-	Contributions welcome.
FBgn0005626	ple	pale	20190314	pale (ple) encodes a tyrosine hydroxylase, the first and rate-limiting step in the synthesis of dopamine (and eventually, melanin). Dopamine has critical roles in system development.
FBgn0004861	ph-p	polyhomeotic proximal	20190314	polyhomeotic proximal (ph-p) encodes a stoichiometric subunit of the Polycomb repressive complex 1. The complex silences a variety of genes involved in developmental patterning, regulation of cell proliferation, differentiation and polarity. Together with its paralog ph-d, ph-p functions as a tumor suppressor gene.
FBgn0267330	KdelR	KDEL receptor	20190314	KDEL receptor (KdelR) encodes a protein required for retrieval of ER proteins from the Golgi. Loss of function is lethal and results in larval cuticle defects. It is essential for the ER retention of some but not all KDEL-containing proteins in the salivary gland ER.
FBgn0032752	CG10702	-	-	Contributions welcome.
FBgn0029532	CG13361	-	-	Contributions welcome.
FBgn0035143	Ppm1	Ppm1	-	Contributions welcome.
FBgn0039832	CG15563	-	-	Contributions welcome.
FBgn0050375	CG30375	-	-	Contributions welcome.
FBgn0031139	CG11227	-	-	Contributions welcome.
FBgn0031626	CG15631	-	-	Contributions welcome.
FBgn0039594	snu	snustorr	-	Contributions welcome.
FBgn0033875	CG6357	-	-	Contributions welcome.
FBgn0010339	128up	upstream of RpIII128	-	Contributions welcome.
FBgn0034002	CG8079	-	-	Contributions welcome.
FBgn0032631	CG15140	-	-	Contributions welcome.
FBgn0032645	CG15142	-	-	Contributions welcome.
FBgn0004368	Ptp4E	Protein tyrosine phosphatase 4E	20190314	Protein tyrosine phosphatase 4E (Ptp4E) encodes a transmembrane receptor tyrosine phosphatase closely related to the product of Ptp10D. Ptp4E single mutants have no known phenotypes. However, Ptp4E-Ptp10D double mutants have lethal respiratory defects. The product of Ptp4E regulates signaling through the receptor tyrosine kinases encoded by Egfr, btl and Pvr.
FBgn0003187	qua	quail	20190314	quail (qua) encodes a member of the Villin family of F-actin crosslinking proteins. It is involved in wing hair growth and oogenesis.
FBgn0085387	shakB	shaking B	-	Contributions welcome.
FBgn0037005	CG5078	-	-	Contributions welcome.
FBgn0035645	CG5592	-	-	Contributions welcome.
FBgn0260000	CG17570	-	-	Contributions welcome.
FBgn0032633	Lrch	Leucine-rich-repeats and calponin homology domain protein	20190314	Leucine-rich-repeats and calponin homology domain protein (Lrch) encodes a scaffold protein well conserved across animals that associates with actin-rich structures during cell division. Lack of Lrch results in a reduction of fertility and fitness.
FBgn0086782	amn	amnesiac	20190228	amnesiac (amn) encodes an apparent pre-pro-neuropeptide that functions to prolong medium-term memory. In the adult, it is almost entirely concentrated in two large neurosecretory cells (Dorsal Paired Median cells).
FBgn0033677	CG8321	-	-	Contributions welcome.
FBgn0250907	Cht10	Chitinase 10	-	Contributions welcome.
FBgn0034964	IntS1	Integrator 1	-	Contributions welcome.
